,id,type,data
448,TOR201905080,daynight,night
449,TOR201905080,usedh,true
450,TOR201905080,umphome,cuzzp901
451,TOR201905080,ump1b,hallt901
452,TOR201905080,ump2b,hamaa901
453,TOR201905080,ump3b,ticht901
454,TOR201905080,howscored,park
455,TOR201905080,pitches,pitches
456,TOR201905080,oscorer,starh701
457,TOR201905080,temp,68
458,TOR201905080,winddir,unknown
459,TOR201905080,windspeed,0
460,TOR201905080,fieldcond,dry
461,TOR201905080,precip,none
462,TOR201905080,sky,dome
463,TOR201905080,timeofgame,186
464,TOR201905080,attendance,14372
465,TOR201905080,wp,gibsk002
466,TOR201905080,lp,thort002
467,TOR201905080,save,
468,TOR201905100,visteam,CHA
469,TOR201905100,hometeam,TOR
470,TOR201905100,site,TOR02
471,TOR201905100,date,2019/05/10
472,TOR201905100,number,0
473,TOR201905100,starttime,7:09PM
474,TOR201905100,daynight,night
475,TOR201905100,usedh,true
476,TOR201905100,umphome,torrc901
477,TOR201905100,ump1b,demud901
478,TOR201905100,ump2b,herna901
479,TOR201905100,ump3b,hicke901
480,TOR201905100,howscored,park
481,TOR201905100,pitches,pitches
482,TOR201905100,oscorer,lajor701
483,TOR201905100,temp,68
484,TOR201905100,winddir,unknown
485,TOR201905100,windspeed,0
486,TOR201905100,fieldcond,unknown
487,TOR201905100,precip,unknown
488,TOR201905100,sky,dome
489,TOR201905100,timeofgame,188
490,TOR201905100,attendance,20402
491,TOR201905100,wp,biagj001
492,TOR201905100,lp,coved001
493,TOR201905100,save,gilek001
494,TOR201905110,visteam,CHA
495,TOR201905110,hometeam,TOR
496,TOR201905110,site,TOR02
497,TOR201905110,date,2019/05/11
498,TOR201905110,number,0
499,TOR201905110,starttime,3:08PM
500,TOR201905110,daynight,day
501,TOR201905110,usedh,true
502,TOR201905110,umphome,demud901
503,TOR201905110,ump1b,herna901
504,TOR201905110,ump2b,hicke901
505,TOR201905110,ump3b,torrc901
506,TOR201905110,howscored,park
507,TOR201905110,pitches,pitches
508,TOR201905110,oscorer,lajor701
509,TOR201905110,temp,68
510,TOR201905110,winddir,unknown
511,TOR201905110,windspeed,0
512,TOR201905110,fieldcond,unknown
513,TOR201905110,precip,unknown
514,TOR201905110,sky,dome
515,TOR201905110,timeofgame,200
516,TOR201905110,attendance,24563
517,TOR201905110,wp,novai001
518,TOR201905110,lp,strom001
519,TOR201905110,save,
520,TOR201905120,visteam,CHA
521,TOR201905120,hometeam,TOR
522,TOR201905120,site,TOR02
523,TOR201905120,date,2019/05/12
524,TOR201905120,number,0
525,TOR201905120,starttime,1:09PM
526,TOR201905120,daynight,day
527,TOR201905120,usedh,true
